Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def Outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,4.0,0.7692307692307692,91.53846153846153,2.6,1.5384615384615383,1.51,4.615384615384615,3.0769230769230766,66.7,0.3846153846153846,0.0,0.3846153846153846,0.7692307692307692,100.0,0.0,0.0,0.0,0.0,0.0,1.5384615384615383,0.0,0.0,0.0,0.0,0.923076923076923,0.2,-0.6153846153846154,-0.61,6.9230769230769225,18.846153846153847,36.7,30.0,7.692307692307692,35.9,32.4,8.461538461538462,95.5,64.5,15.769230769230768,0.7692307692307692,4.9,1.1538461538461537,1.13,15.3,0.9900003333200004
2,Alisson,br BRA,GK,Liverpool,eng Premier League,30,1992,28.0,1.0,90.0,28.0,1.0714285714285714,1.07,3.892857142857143,2.857142857142857,73.4,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,28.6,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,1.0714285714285714,0.03571428571428571,0.0,0.14285714285714285,0.03571428571428571,1.025,0.26,-0.010714285714285714,-0.01,2.142857142857143,6.535714285714286,32.8,36.464285714285715,5.0,14.1,24.7,4.142857142857143,33.6,33.3,10.678571428571429,0.4642857142857143,4.3,1.1785714285714286,1.18,17.7,1.511677798189594
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30,1993,31.0,1.0333333333333334,89.96666666666667,30.0,1.7666666666666666,1.77,6.266666666666667,4.533333333333333,74.5,0.36666666666666664,0.3,0.36666666666666664,0.13333333333333333,12.9,0.23333333333333334,0.16666666666666666,0.06666666666666667,0.0,28.6,1.7666666666666666,0.16666666666666666,0.0,0.1,0.1,1.7366666666666668,0.24,0.07,0.07,5.333333333333333,14.333333333333334,37.2,21.433333333333334,4.8,43.9,36.8,7.3,67.6,47.3,15.6,0.9,5.8,0.23333333333333334,0.23,8.9,0.5822196548677602
5,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,28,1994,14.0,0.9774436090225563,90.07518796992481,13.3,0.6766917293233082,0.68,2.857142857142857,2.255639097744361,76.3,0.7518796992481203,0.15037593984962405,0.07518796992481203,0.6015037593984962,61.5,0.0,0.0,0.0,0.0,0.0,0.6766917293233082,0.0,0.0,0.0,0.07518796992481203,0.7518796992481203,0.28,0.15037593984962405,0.15,2.556390977443609,6.917293233082707,37.0,29.022556390977442,4.285714285714286,19.2,27.0,5.263157894736842,25.7,30.6,11.804511278195488,0.45112781954887216,3.8,0.7518796992481203,0.75,14.7,1.4300842114019796
6,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21,2002,34.0,1.0,90.0,34.0,1.7058823529411764,1.71,4.647058823529412,2.911764705882353,65.2,0.3235294117647059,0.2647058823529412,0.4117647058823529,0.29411764705882354,29.4,0.14705882352941177,0.08823529411764706,0.058823529411764705,0.0,40.0,1.7058823529411764,0.08823529411764706,0.029411764705882353,0.14705882352941177,0.029411764705882353,1.4705882352941178,0.3,-0.20588235294117646,-0.21,5.676470588235294,16.705882352941178,34.0,33.76470588235294,4.705882352941177,35.4,34.2,7.088235294117647,67.2,50.7,14.264705882352942,0.9117647058823529,6.4,0.8823529411764706,0.88,13.6,0.8316189541291854
7,Emil Audero,id IDN,GK,Inter,it Serie A,26,1997,4.0,1.081081081081081,91.08108108108108,3.7,0.8108108108108107,0.8,2.972972972972973,2.162162162162162,72.7,0.5405405405405405,0.27027027027027023,0.27027027027027023,0.5405405405405405,50.0,0.0,0.0,0.0,0.0,0.0,0.8108108108108107,0.0,0.0,0.0,0.0,0.8378378378378378,0.28,0.02702702702702703,0.02,1.6216216216216215,6.486486486486486,25.0,47.83783783783784,7.5675675675675675,11.9,24.6,4.864864864864865,16.7,27.2,14.594594594594595,1.6216216216216215,11.1,0.5405405405405405,0.53,10.2,1.3408023196177374
8,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,19,2004,1.0,0.0,50.0,0.1,0.0,0.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.36,10.0,20.0,50.0,10.0,0.0,100.0,47.0,20.0,50.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3842190086035764
9,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17.0,1.0,90.0,17.0,1.6470588235294117,1.65,5.0588235294117645,3.411764705882353,67.4,0.17647058823529413,0.23529411764705882,0.5882352941176471,0.17647058823529413,17.6,0.0,0.0,0.0,0.0,0.0,1.6470588235294117,0.0,0.0,0.35294117647058826,0.0,1.3294117647058825,0.27,-0.31764705882352945,-0.32,7.470588235294118,20.823529411764707,35.9,33.294117647058826,4.588235294117647,45.8,39.4,7.176470588235294,77.9,55.9,16.176470588235293,1.3529411764705883,8.4,1.0588235294117647,1.06,14.2,0.7834819385069712
10,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,32,1991,4.0,1.0,90.0,4.0,0.75,0.75,4.25,3.5,82.4,0.0,0.5,0.5,0.25,25.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.6,0.15,-0.15,-0.15,4.5,14.5,31.0,33.0,3.5,38.6,34.7,5.25,33.3,34.8,9.5,1.0,10.5,0.5,0.5,11.3,0.8074346014064243
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33,1990,34.0,1.0,90.0,34.0,1.9411764705882353,1.94,6.205882352941177,4.205882352941177,69.7,0.38235294117647056,0.20588235294117646,0.4117647058823529,0.058823529411764705,5.9,0.14705882352941177,0.058823529411764705,0.08823529411764706,0.0,60.0,1.9411764705882353,0.058823529411764705,0.08823529411764706,0.2647058823529412,0.029411764705882353,2.0176470588235293,0.31,0.10588235294117647,0.11,6.117647058823529,15.558823529411764,39.3,34.088235294117645,4.852941176470588,33.7,32.7,7.323529411764706,55.4,44.9,16.029411764705884,0.9117647058823529,5.7,2.1470588235294117,2.15,16.7,0.9750052070315792
12,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,21,2002,15.0,1.0,90.0,15.0,1.7333333333333334,1.73,4.2,2.466666666666667,63.5,0.26666666666666666,0.13333333333333333,0.6,0.13333333333333333,13.3,0.26666666666666666,0.2,0.06666666666666667,0.0,25.0,1.7333333333333334,0.2,0.0,0.06666666666666667,0.06666666666666667,1.32,0.25,-0.3466666666666667,-0.35,3.7333333333333334,12.2,30.6,29.333333333333332,3.8,36.4,34.4,4.066666666666666,37.7,36.0,13.533333333333333,1.2666666666666666,9.4,1.4,1.4,13.4,0.722473649702316
13,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30,1993,5.0,0.6976744186046512,89.06976744186046,4.3,1.627906976744186,1.64,3.488372093023256,1.8604651162790697,53.3,0.23255813953488372,0.0,0.46511627906976744,0.23255813953488372,33.3,0.0,0.0,0.0,0.0,0.0,1.627906976744186,0.0,0.0,0.0,0.0,1.3488372093023255,0.39,-0.27906976744186046,-0.28,3.0232558139534884,13.023255813953488,23.2,25.813953488372093,2.0930232558139537,36.0,33.8,7.674418604651163,48.5,36.9,11.627906976744187,0.0,0.0,0.6976744186046512,0.7,13.3,0.9450553913108125
14,Etrit Berisha,al ALB,GK,Empoli,it Serie A,34,1989,14.0,1.0,90.0,14.0,1.7857142857142858,1.79,5.285714285714286,3.5,68.9,0.21428571428571427,0.21428571428571427,0.5714285714285714,0.2857142857142857,28.6,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,33.3,1.7857142857142858,0.14285714285714285,0.0,0.35714285714285715,0.07142857142857142,1.4785714285714284,0.24,-0.2357142857142857,-0.24,3.142857142857143,13.142857142857142,23.9,28.571428571428573,5.357142857142857,34.8,33.0,6.428571428571429,50.0,40.8,16.857142857142858,0.7857142857142857,4.7,0.7142857142857143,0.71,12.4,0.7086873875484091
15,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25,1998,4.0,1.0,90.0,4.0,2.75,2.75,8.5,5.75,67.6,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.25,0.0,2.725,0.32,-0.025,-0.02,4.5,15.25,29.5,29.5,6.5,42.4,38.0,5.75,47.8,42.5,14.0,0.75,5.4,0.0,0.0,9.6,0.7363751645277967
