Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
12,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2.0,1.0,88.5,2.0,1.0,1.02,4.5,3.5,77.8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.35,0.15,0.35,0.37,2.5,9.5,26.3,17.5,3.0,40.0,33.0,6.5,38.5,32.1,12.0,1.0,8.3,0.0,0.0,5.5,1.0299910032388202
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33.0,1.0,90.0,33.0,1.7272727272727273,1.73,4.696969696969697,2.9696969696969697,64.5,0.36363636363636365,0.21212121212121213,0.42424242424242425,0.24242424242424243,24.2,0.12121212121212122,0.06060606060606061,0.030303030303030304,0.030303030303030304,33.3,1.7272727272727273,0.06060606060606061,0.0,0.2727272727272727,0.030303030303030304,1.5606060606060606,0.01,-0.13636363636363635,-0.14,4.181818181818182,11.909090909090908,35.1,39.45454545454545,5.606060606060606,26.1,29.0,6.545454545454546,24.5,28.8,12.727272727272727,0.8181818181818182,6.4,1.9696969696969697,1.97,16.7,1.158648504297499
14,Asmir Begovic,ba BIH,GK,Everton,eng Premier League,34,1987,3.0,1.0,90.0,3.0,2.6666666666666665,2.67,6.0,3.6666666666666665,61.1,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,33.3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,2.6666666666666665,0.3333333333333333,0.0,1.0,0.3333333333333333,1.4000000000000001,0.06,-0.9333333333333332,-0.94,6.666666666666667,20.666666666666668,32.3,18.0,1.6666666666666667,74.1,48.9,10.333333333333334,71.0,51.3,16.666666666666668,1.0,6.0,0.6666666666666666,0.67,10.7,0.5378828427399902
15,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,23.0,0.9767441860465116,90.13953488372093,21.5,2.2790697674418605,2.28,6.27906976744186,4.046511627906977,65.9,0.13953488372093023,0.09302325581395349,0.7441860465116279,0.046511627906976744,4.8,0.23255813953488372,0.13953488372093023,0.046511627906976744,0.046511627906976744,25.0,2.2790697674418605,0.13953488372093023,0.0,0.18604651162790697,0.09302325581395349,1.897674418604651,0.013023255813953489,-0.28837209302325584,-0.29,6.837209302325581,15.767441860465116,43.4,18.232558139534884,3.5348837209302326,52.6,39.5,8.465116279069768,73.1,49.9,15.30232558139535,0.5581395348837209,3.6,0.6511627906976745,0.65,12.7,0.586355557812865
16,Walter Benitez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37.0,1.0,90.0,37.0,0.9459459459459459,0.95,3.810810810810811,2.8378378378378377,78.0,0.5405405405405406,0.1891891891891892,0.2702702702702703,0.3783783783783784,37.8,0.13513513513513514,0.10810810810810811,0.02702702702702703,0.0,20.0,0.9459459459459459,0.10810810810810811,0.02702702702702703,0.02702702702702703,0.0,1.1513513513513514,0.007297297297297297,0.2054054054054054,0.21,3.918918918918919,10.216216216216216,38.4,20.91891891891892,4.5675675675675675,30.2,30.5,7.027027027027027,55.4,43.0,13.594594594594595,0.8378378378378378,6.2,0.8918918918918919,0.89,13.6,1.0748596906874992
17,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1.0,1.0,90.0,1.0,3.0,3.0,7.0,4.0,57.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.3,0.38,-0.7,-0.66,4.0,19.0,21.1,23.0,4.0,52.2,39.7,7.0,100.0,58.7,12.0,0.0,0.0,0.0,0.0,0.0,1.0299910032388202
18,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10.0,1.0,90.0,10.0,0.8,0.8,4.1,3.2,85.4,0.3,0.4,0.3,0.4,40.0,0.3,0.2,0.1,0.0,33.3,0.8,0.2,0.0,0.0,0.0,1.02,0.018,0.22000000000000003,0.22,5.3,18.8,28.2,24.0,3.7,50.0,39.4,7.8,87.2,58.6,14.8,0.7,4.7,1.0,1.0,14.6,1.1635187536836722
19,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13.0,1.0,90.0,13.0,1.4615384615384615,1.46,3.5384615384615383,2.076923076923077,65.2,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.3076923076923077,30.8,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,1.4615384615384615,0.23076923076923078,0.15384615384615385,0.46153846153846156,0.0,1.2230769230769232,0.02153846153846154,-0.23846153846153847,-0.24,3.5384615384615383,8.538461538461538,41.4,18.53846153846154,6.615384615384615,27.0,31.8,7.538461538461538,46.9,39.0,14.76923076923077,1.6153846153846154,10.9,1.0769230769230769,1.08,12.5,0.9201702308888685
20,Paul Bernardoni,fr FRA,GK,Saint-Etienne,fr Ligue 1,24,1997,19.0,1.0,90.0,19.0,1.9473684210526316,1.95,4.894736842105263,3.0526315789473686,65.6,0.2631578947368421,0.2631578947368421,0.47368421052631576,0.15789473684210525,15.8,0.2631578947368421,0.2631578947368421,0.0,0.0,0.0,1.9473684210526316,0.2631578947368421,0.05263157894736842,0.2631578947368421,0.10526315789473684,1.6526315789473685,0.015263157894736841,-0.18947368421052632,-0.19,4.578947368421052,16.0,28.6,23.31578947368421,6.2631578947368425,46.5,37.0,7.157894736842105,72.1,49.3,10.421052631578947,1.0,9.6,2.9473684210526314,2.95,18.9,0.9251403093125009
21,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,23,1998,11.0,0.9677419354838709,89.56989247311827,9.3,2.150537634408602,2.16,6.129032258064516,3.9784946236559136,68.4,0.2150537634408602,0.3225806451612903,0.4301075268817204,0.2150537634408602,22.2,0.2150537634408602,0.2150537634408602,0.0,0.0,0.0,2.150537634408602,0.2150537634408602,0.1075268817204301,0.1075268817204301,0.0,1.7204301075268815,0.026881720430107524,-0.4301075268817204,-0.43,4.946236559139785,13.870967741935482,35.7,24.301075268817204,5.913978494623655,38.5,33.8,9.247311827956988,48.8,38.5,13.763440860215052,0.8602150537634408,6.3,0.4301075268817204,0.43,11.7,0.9102422152528399
