Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def Outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32,1990,34.0,1.0,90.0,34.0,1.6764705882352942,1.68,4.735294117647059,3.088235294117647,65.8,0.29411764705882354,0.17647058823529413,0.5294117647058824,0.14705882352941177,14.7,0.08823529411764706,0.058823529411764705,0.0,0.029411764705882353,0.0,1.6764705882352942,0.058823529411764705,0.029411764705882353,0.3235294117647059,0.029411764705882353,1.4823529411764707,0.31,-0.16470588235294117,-0.16,6.0588235294117645,15.441176470588236,39.2,34.23529411764706,4.9411764705882355,35.3,33.6,7.323529411764706,45.8,39.3,15.558823529411764,1.2647058823529411,8.1,1.2647058823529411,1.26,13.4,0.9152041184512979
12,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,20,2002,32.0,1.0,90.0,32.0,1.75,1.75,3.75,2.09375,54.2,0.1875,0.1875,0.625,0.125,12.5,0.0625,0.03125,0.03125,0.0,50.0,1.75,0.03125,0.03125,0.21875,0.125,1.096875,0.28,-0.528125,-0.53,6.625,19.65625,33.7,29.21875,4.5,50.2,38.1,7.40625,67.5,50.0,14.25,1.125,7.9,1.5,1.5,15.1,0.7317288179783987
13,Asmir Begovic,ba BIH,GK,Everton,eng Premier League,35,1987,1.0,1.0,90.0,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.12,0.5,0.49,4.0,13.0,30.8,22.0,5.0,36.4,34.9,8.0,62.5,46.8,23.0,1.0,4.3,0.0,0.0,5.0,0.6547859658644789
14,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,29,1993,2.0,1.0,90.0,2.0,1.5,1.5,6.5,5.0,76.9,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.95,0.3,0.45,0.44,5.0,14.5,34.5,28.5,7.0,38.6,32.9,11.5,30.4,32.2,18.5,2.5,13.5,0.5,0.5,8.0,0.9950000416662499
15,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,25,1997,27.0,1.0,90.0,27.0,2.2962962962962963,2.3,5.296296296296297,3.111111111111111,62.2,0.037037037037037035,0.18518518518518517,0.7777777777777778,0.1111111111111111,11.1,0.3333333333333333,0.2962962962962963,0.0,0.037037037037037035,0.0,2.2962962962962963,0.2962962962962963,0.037037037037037035,0.2222222222222222,0.1111111111111111,1.9037037037037037,0.31,-0.28148148148148144,-0.28,3.4814814814814814,10.777777777777779,32.3,17.74074074074074,4.592592592592593,39.5,34.6,6.851851851851852,55.1,42.6,13.222222222222221,0.7777777777777778,5.9,0.6666666666666666,0.67,11.4,0.8462294777359073
16,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,31,1991,37.0,1.0,90.0,37.0,1.4594594594594594,1.46,4.756756756756757,3.2972972972972974,73.3,0.2972972972972973,0.2702702702702703,0.43243243243243246,0.21621621621621623,21.6,0.24324324324324326,0.1891891891891892,0.05405405405405406,0.0,22.2,1.4594594594594594,0.1891891891891892,0.02702702702702703,0.2972972972972973,0.05405405405405406,1.4837837837837837,0.26,0.07837837837837838,0.08,5.351351351351352,12.891891891891891,41.5,21.783783783783782,4.405405405405405,38.2,35.5,7.8108108108108105,58.5,43.9,14.054054054054054,0.8108108108108109,5.8,0.6756756756756757,0.68,11.6,0.7503870510631414
17,Ruben Blanco,es ESP,GK,Marseille,fr Ligue 1,27,1995,6.0,1.0909090909090908,90.0,5.5,1.0909090909090908,1.09,3.4545454545454546,2.727272727272727,68.4,0.18181818181818182,0.5454545454545454,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,0.18181818181818182,0.36363636363636365,0.7090909090909091,0.2,-0.018181818181818184,-0.02,2.0,8.545454545454545,23.4,30.0,5.636363636363637,20.6,27.4,7.454545454545454,31.7,32.1,13.272727272727273,0.5454545454545454,4.1,1.2727272727272727,1.27,17.9,1.323006318405905
18,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,31,1991,26.0,1.0,90.0,26.0,1.1153846153846154,1.12,2.8846153846153846,1.7307692307692308,69.3,0.6153846153846154,0.15384615384615385,0.23076923076923078,0.2692307692307692,26.9,0.2692307692307692,0.23076923076923078,0.038461538461538464,0.0,14.3,1.1153846153846154,0.23076923076923078,0.0,0.07692307692307693,0.0,1.0346153846153845,0.27,-0.08076923076923077,-0.08,2.269230769230769,7.269230769230769,31.2,37.88461538461539,4.846153846153846,14.9,25.3,6.0,26.9,30.0,11.076923076923077,0.7692307692307693,6.9,1.5,1.5,17.0,1.3842190086035764
19,Joaquin Blazquez,ar ARG,GK,Brest,fr Ligue 1,21,2001,1.0,1.0,90.0,1.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.2,0.17,8.0,13.0,61.5,18.0,3.0,61.1,45.7,11.0,18.2,26.3,11.0,2.0,18.2,0.0,0.0,3.5,0.7503870510631414
20,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,31,1991,25.0,1.0460251046025104,90.0,23.9,1.7154811715481173,1.72,4.435146443514645,2.761506276150628,63.2,0.29288702928870297,0.2510460251046025,0.502092050209205,0.1673640167364017,16.0,0.12552301255230125,0.08368200836820085,0.041841004184100423,0.0,33.3,1.7154811715481173,0.08368200836820085,0.041841004184100423,0.12552301255230125,0.08368200836820085,1.5606694560669456,0.34,-0.07112970711297072,-0.07,4.811715481171548,12.677824267782427,38.0,32.845188284518834,3.8493723849372388,27.9,30.9,6.778242677824268,51.9,42.1,12.88702928870293,0.8368200836820084,6.5,1.6317991631799165,1.63,17.4,1.1292725836060584
