Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
1,Antonio Adan,es ESP,GK,Atletico Madrid,es La Liga,31,1987,2.0,1.0,90.0,1.0,2.0,2.0,7.0,5.0,71.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.43,1.0,1.03,5.0,16.0,31.3,13.0,2.0,53.8,33.3,11.0,81.8,52.5,18.0,0.0,0.0,0.0,0.0,0.0,0.9600213196888365
2,Runar Alex Runarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,1.0,90.0,25.0,1.72,1.72,3.96,2.24,58.6,0.28,0.2,0.52,0.2,20.0,0.08,0.08,0.0,0.0,0.0,1.72,0.08,0.08,0.2,0.0,1.3519999999999999,0.0128,-0.368,-0.37,6.64,15.52,42.8,26.2,5.04,36.2,33.7,8.52,70.9,51.4,13.04,0.52,4.0,1.8,1.8,18.6,0.8953841808513494
3,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1.0,90.0,38.0,0.5789473684210527,0.58,2.526315789473684,1.9473684210526316,77.1,0.7894736842105263,0.18421052631578946,0.02631578947368421,0.5526315789473685,55.3,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.5789473684210527,0.0,0.0,0.13157894736842105,0.0,0.7157894736842105,0.007631578947368421,0.1368421052631579,0.14,3.3947368421052633,8.18421052631579,41.5,28.210526315789473,5.578947368421052,20.1,28.8,5.684210526315789,44.0,41.3,10.131578947368421,0.42105263157894735,4.2,1.5526315789473684,1.55,16.6,1.5298956075275294
4,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,1.0,90.0,13.0,1.3076923076923077,1.31,5.538461538461538,4.3076923076923075,77.8,0.15384615384615385,0.15384615384615385,0.6923076923076923,0.07692307692307693,7.7,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,1.3076923076923077,0.07692307692307693,0.0,0.15384615384615385,0.07692307692307693,1.3076923076923077,0.017692307692307695,0.07692307692307693,0.08,10.153846153846153,21.76923076923077,46.6,25.615384615384617,5.230769230769231,54.4,41.0,9.615384615384615,81.6,53.9,17.692307692307693,1.6153846153846154,9.1,1.3846153846153846,1.38,13.1,0.8953841808513494
5,Sergio Alvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,1.0,90.0,13.0,1.6923076923076923,1.69,4.461538461538462,2.8461538461538463,65.5,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.15384615384615385,15.4,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,1.6923076923076923,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,1.4692307692307693,0.023076923076923075,-0.14615384615384613,-0.15,7.0,18.23076923076923,38.4,25.384615384615383,3.6153846153846154,43.9,36.5,9.846153846153847,71.9,52.1,17.692307692307693,0.6153846153846154,3.5,0.5384615384615384,0.54,12.9,1.0798297691111314
6,Miguel Angel Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,1.0,90.0,11.0,1.0,1.0,3.0,2.0,66.7,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.18181818181818182,18.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09090909090909091,0.0,0.9272727272727272,0.028181818181818183,-0.07272727272727274,-0.08,5.7272727272727275,11.454545454545455,50.0,25.818181818181817,3.1818181818181817,28.2,31.5,7.0,59.7,43.2,14.545454545454545,0.45454545454545453,3.1,1.9090909090909092,1.91,17.8,1.0847958815487022
7,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,1.0,90.0,21.0,0.8095238095238095,0.81,3.142857142857143,2.380952380952381,80.3,0.7619047619047619,0.14285714285714285,0.09523809523809523,0.5238095238095238,52.4,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0,0.8095238095238095,0.19047619047619047,0.0,0.047619047619047616,0.047619047619047616,0.8714285714285714,0.010476190476190476,0.10952380952380951,0.11,1.9047619047619047,4.476190476190476,42.6,17.952380952380953,4.761904761904762,15.9,25.3,6.619047619047619,24.5,32.0,12.142857142857142,0.3333333333333333,2.7,0.6190476190476191,0.62,13.7,1.5947603071377392
8,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,1.0,90.0,36.0,1.0833333333333333,1.08,3.361111111111111,2.25,68.6,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.3888888888888889,38.9,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.0,50.0,1.0833333333333333,0.027777777777777776,0.0,0.16666666666666666,0.0,1.0138888888888888,0.008055555555555555,-0.06944444444444445,-0.07,3.1666666666666665,6.388888888888889,49.6,25.083333333333332,4.333333333333333,15.7,25.9,7.111111111111111,34.4,36.5,10.25,0.3888888888888889,3.8,0.9722222222222222,0.97,18.1,1.568294378354971
9,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32.0,1.0,90.0,32.0,1.40625,1.41,5.0625,3.71875,73.5,0.21875,0.375,0.40625,0.28125,28.1,0.125,0.0625,0.03125,0.03125,33.3,1.40625,0.0625,0.0625,0.125,0.09375,1.478125,0.00875,0.165625,0.17,5.6875,13.71875,41.5,17.6875,4.1875,46.5,39.2,7.9375,69.3,51.5,18.125,0.625,3.4,0.8125,0.81,11.8,0.9152041184512979
10,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36.0,1.0,90.0,36.0,1.4166666666666667,1.42,4.083333333333333,2.6666666666666665,70.1,0.3888888888888889,0.19444444444444445,0.4166666666666667,0.3055555555555556,30.6,0.2222222222222222,0.19444444444444445,0.027777777777777776,0.0,12.5,1.4166666666666667,0.19444444444444445,0.05555555555555555,0.16666666666666666,0.027777777777777776,1.375,0.008333333333333333,-0.013888888888888888,-0.01,3.4166666666666665,10.277777777777779,33.2,23.88888888888889,5.027777777777778,25.9,28.7,8.25,49.5,39.1,16.305555555555557,0.6944444444444444,4.3,1.3333333333333333,1.33,15.0,1.2402128646861803
