Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
1,Antonio Adan,es ESP,GK,Betis,es La Liga,30,1987,30.0,1.0,90.0,30.0,1.7666666666666666,1.77,4.4,2.7333333333333334,62.1,0.4666666666666667,0.13333333333333333,0.4,0.3,30.0,0.13333333333333333,0.1,0.03333333333333333,0.0,25.0,1.7666666666666666,0.1,0.0,0.16666666666666666,0.13333333333333333,1.3933333333333333,0.009666666666666665,-0.24000000000000002,-0.24,5.866666666666666,16.333333333333332,35.9,33.4,4.333333333333333,33.8,32.8,8.433333333333334,59.7,44.4,15.6,0.5666666666666667,3.6,0.7333333333333333,0.73,14.6,1.3319338535036405
2,Rene Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,1.0,90.0,14.0,1.2857142857142858,1.29,3.7857142857142856,2.5,67.9,0.35714285714285715,0.21428571428571427,0.42857142857142855,0.2857142857142857,28.6,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.0,1.2857142857142858,0.07142857142857142,0.0,0.35714285714285715,0.0,1.0,0.017857142857142856,-0.2857142857142857,-0.29,5.571428571428571,15.428571428571429,36.1,23.0,3.9285714285714284,39.1,36.3,8.357142857142858,76.9,54.9,14.928571428571429,1.3571428571428572,9.1,1.5714285714285714,1.57,15.4,0.7270949194368673
3,Adrian,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,1.0,90.0,19.0,1.5263157894736843,1.53,5.052631578947368,3.5789473684210527,70.8,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.3157894736842105,31.6,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,1.5263157894736843,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.05263157894736842,1.4631578947368422,0.015263157894736841,-0.010526315789473684,-0.01,8.105263157894736,23.42105263157895,34.6,20.157894736842106,2.473684210526316,72.8,47.7,9.68421052631579,90.2,59.3,16.63157894736842,0.6842105263157895,4.1,1.631578947368421,1.63,16.0,0.7645042504615022
4,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37.0,1.0,90.0,37.0,0.7567567567567568,0.76,3.6486486486486487,2.8378378378378377,81.5,0.5945945945945946,0.21621621621621623,0.1891891891891892,0.4594594594594595,45.9,0.13513513513513514,0.08108108108108109,0.05405405405405406,0.0,40.0,0.7567567567567568,0.08108108108108109,0.0,0.05405405405405406,0.0,0.9567567567567568,0.006216216216216217,0.2,0.2,5.756756756756757,11.243243243243244,51.2,28.89189189189189,6.45945945945946,28.9,32.1,6.8108108108108105,42.5,41.0,12.675675675675675,0.4594594594594595,3.6,2.4324324324324325,2.43,18.9,1.379948962255225
5,Sergio Alvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,17.0,0.9756097560975611,89.93902439024392,16.4,1.7682926829268295,1.77,4.573170731707317,2.8658536585365857,62.7,0.1829268292682927,0.3658536585365854,0.426829268292683,0.1829268292682927,18.8,0.06097560975609757,0.06097560975609757,0.0,0.0,0.0,1.7682926829268295,0.06097560975609757,0.0,0.24390243902439027,0.06097560975609757,1.4207317073170733,0.018902439024390247,-0.28658536585365857,-0.29,6.707317073170732,17.378048780487806,38.6,30.121951219512198,2.9268292682926833,40.5,36.3,7.865853658536586,65.9,50.6,13.04878048780488,0.48780487804878053,3.7,1.0975609756097562,1.1,14.1,1.277526350297684
6,Ibrahim Amadou,fr FRA,"MF,DF",Lille,fr Ligue 1,24,1993,1.0,0.0,0.6367041198501873,26.7,0.0749063670411985,10.59,0.11235955056179775,0.03745318352059925,66.7,0.0,0.0,0.0,0.0,0.0,0.03745318352059925,0.03745318352059925,0.0,0.0,0.0,0.0749063670411985,0.03745318352059925,0.0,0.0,0.0,0.056179775280898875,0.007490636704119851,-0.018726591760299626,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03745318352059925,0.0,0.0,0.0,0.0,0.0,1.1877462058682853
7,Jon Ander Serantes,es ESP,GK,Leganes,es La Liga,27,1989,1.0,1.0,90.0,1.0,2.0,2.0,8.0,6.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.7,0.34,0.7,0.71,8.0,26.0,30.8,25.0,1.0,72.0,54.5,8.0,100.0,71.5,9.0,1.0,11.1,0.0,0.0,8.0,0.6636244556636678
8,Nicolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,1.0,90.0,36.0,1.9722222222222223,1.97,6.472222222222222,4.5,72.1,0.19444444444444445,0.1111111111111111,0.6944444444444444,0.19444444444444445,19.4,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.0,25.0,1.9722222222222223,0.16666666666666666,0.1111111111111111,0.25,0.05555555555555555,1.7916666666666667,0.006944444444444444,-0.125,-0.13,10.083333333333334,24.38888888888889,41.3,28.833333333333332,6.861111111111111,53.4,41.1,11.083333333333334,81.2,55.0,20.22222222222222,1.3611111111111112,6.7,0.8888888888888888,0.89,12.7,0.6157809913964236
9,Miguel Angel Moya,es ESP,GK,Real Sociedad,es La Liga,33,1984,9.0,1.0588235294117647,90.0,8.5,0.9411764705882353,0.94,3.8823529411764706,2.823529411764706,81.8,0.35294117647058826,0.23529411764705882,0.47058823529411764,0.23529411764705882,22.2,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.0,33.3,0.9411764705882353,0.23529411764705882,0.0,0.11764705882352941,0.0,1.0588235294117647,0.02235294117647059,0.11764705882352941,0.12,8.941176470588236,17.294117647058822,51.7,34.23529411764706,2.823529411764706,36.4,35.1,8.235294117647058,58.6,41.4,14.941176470588236,1.0588235294117647,7.1,1.7647058823529411,1.77,14.8,1.3140209253469977
10,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,1.0,90.0,34.0,0.7352941176470589,0.74,3.0,2.264705882352941,76.5,0.7647058823529411,0.17647058823529413,0.058823529411764705,0.5,50.0,0.08823529411764706,0.029411764705882353,0.029411764705882353,0.029411764705882353,50.0,0.7352941176470589,0.029411764705882353,0.058823529411764705,0.14705882352941177,0.029411764705882353,0.7705882352941176,0.007058823529411764,0.06470588235294118,0.07,1.5294117647058822,3.0,51.0,19.38235294117647,4.911764705882353,9.7,22.8,7.0588235294117645,15.8,29.3,11.882352941176471,0.6470588235294118,5.4,1.4705882352941178,1.47,16.1,1.6723392775532822
