Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def Outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
1,Adrian,es ESP,GK,Betis,es La Liga,37,1987,19.0,1.0,90.0,19.0,1.4210526315789473,1.42,4.0,2.5789473684210527,65.8,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.15789473684210525,15.8,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,1.4210526315789473,0.05263157894736842,0.10526315789473684,0.2631578947368421,0.0,1.368421052631579,0.33,-0.05263157894736842,-0.05,3.0526315789473686,9.368421052631579,32.6,26.68421052631579,4.7894736842105265,28.0,31.2,5.7368421052631575,33.0,33.8,13.526315789473685,0.7368421052631579,5.4,0.8421052631578947,0.84,11.7,1.1194272985343858
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,14.0,1.044776119402985,90.0,13.4,0.6716417910447761,0.67,2.5373134328358207,1.791044776119403,76.5,0.6716417910447761,0.29850746268656714,0.07462686567164178,0.3731343283582089,35.7,0.14925373134328357,0.07462686567164178,0.07462686567164178,0.0,50.0,0.6716417910447761,0.07462686567164178,0.14925373134328357,0.07462686567164178,0.0,0.7835820895522387,0.27,0.11194029850746269,0.11,4.253731343283582,13.283582089552239,32.0,25.44776119402985,3.8059701492537314,37.5,33.9,4.925373134328358,75.8,54.9,10.671641791044776,1.4925373134328357,14.0,1.2686567164179103,1.27,14.2,0.9201702308888685
3,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23,2000,2.0,1.0,91.0,1.0,2.0,1.98,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.4,0.48,0.4,0.41,7.0,28.0,25.0,37.0,5.0,59.5,44.7,13.0,46.2,39.7,15.0,0.0,0.0,0.0,0.0,0.0,0.717865187330366
4,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,28.0,1.0035842293906811,89.89247311827957,27.9,1.039426523297491,1.04,3.5842293906810037,2.6164874551971327,72.0,0.6451612903225806,0.2508960573476703,0.10752688172043011,0.3225806451612903,32.1,0.03584229390681004,0.03584229390681004,0.0,0.0,0.0,1.039426523297491,0.03584229390681004,0.0,0.07168458781362008,0.07168458781362008,1.093189964157706,0.3,0.12544802867383514,0.13,2.4372759856630823,7.275985663082437,33.5,31.433691756272403,4.587813620071685,19.7,26.6,2.867383512544803,37.5,33.4,9.13978494623656,0.3942652329749104,4.3,1.756272401433692,1.76,16.0,1.3670417874726315
5,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31,1993,26.0,0.99601593625498,90.0398406374502,25.1,1.6334661354581672,1.63,4.581673306772908,3.0677290836653386,64.3,0.199203187250996,0.2788844621513944,0.5179282868525896,0.199203187250996,20.0,0.0,0.0,0.0,0.0,0.0,1.6334661354581672,0.0,0.0,0.199203187250996,0.1195219123505976,1.4103585657370517,0.31,-0.10358565737051792,-0.1,5.378486055776892,15.298804780876493,35.2,31.39442231075697,4.7410358565737045,34.4,32.1,7.808764940239043,57.7,42.9,15.697211155378485,0.597609561752988,3.8,1.195219123505976,1.19,15.0,0.9201702308888685
6,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29,1994,31.0,1.0,90.0,31.0,1.2580645161290323,1.26,4.32258064516129,3.064516129032258,73.9,0.41935483870967744,0.22580645161290322,0.3548387096774194,0.25806451612903225,25.8,0.12903225806451613,0.12903225806451613,0.0,0.0,0.0,1.2580645161290323,0.12903225806451613,0.0,0.12903225806451613,0.0,1.3225806451612903,0.28,0.06451612903225806,0.07,4.258064516129032,11.774193548387096,36.2,26.806451612903224,3.935483870967742,33.2,32.9,6.193548387096774,46.4,38.7,11.838709677419354,0.7096774193548387,6.0,1.7419354838709677,1.74,16.0,0.9251403093125009
7,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22,2002,26.0,1.015625,90.1171875,25.6,1.4453125,1.44,4.6875,3.1640625,69.2,0.46875,0.234375,0.3125,0.390625,38.5,0.078125,0.0,0.078125,0.0,100.0,1.4453125,0.0,0.0390625,0.1171875,0.0,1.4453125,0.3,0.0,0.0,6.2109375,16.171875,38.4,39.53125,4.296875,32.4,33.1,4.921875,68.3,51.5,14.7265625,1.328125,9.0,1.09375,1.09,12.7,0.9350913872253627
8,Emil Audero,id IDN,GK,Como,it Serie A,27,1997,8.0,1.0,90.0,8.0,2.25,2.25,4.25,2.0,58.8,0.25,0.25,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.25,0.5,0.0,0.25,0.0,1.55,0.27,-0.7,-0.7,2.125,6.875,30.9,29.0,3.75,22.0,28.6,2.625,19.0,27.5,11.875,0.625,5.3,1.0,1.0,12.9,1.226028352278671
9,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25,1999,1.0,1.0,90.0,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.2,0.55,0.2,0.2,3.0,11.0,27.3,26.0,5.0,38.5,32.3,6.0,16.7,29.0,15.0,5.0,33.3,2.0,2.0,12.4,1.2307675127823645
10,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28,1996,32.0,1.0,90.0,32.0,1.21875,1.22,4.15625,2.90625,75.2,0.3125,0.375,0.3125,0.25,25.0,0.25,0.1875,0.0625,0.0,25.0,1.21875,0.1875,0.0,0.1875,0.03125,1.25,0.25,0.0625,0.06,5.53125,16.6875,33.1,30.90625,4.03125,42.3,38.2,5.75,63.0,51.1,14.15625,1.09375,7.7,1.1875,1.19,14.4,1.0847958815487022
