Rk,Player,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals Against,Goals Against p90,Shots On Target Against,Saves,Save %,Wins,Draws,Losses,Clean Sheets,Clean Sheet %,PK Against,PK Goals Against,PK Saved,PK Missed,PK Save %,Goals Against,PK Goals Against,Free Kick Goals Against,Corner Kick Goals Against,Own Goals,PSxG Faced,PSxG Per SoT,PSxG Saved,PSxG Saved Per 90,Launched Passes Completed,Launched Passes Attempted,Launched Pass Completion %,Passes Attempted,Throws Attempted,Pass Launch %,Avg Pass Length,Goals Kicks Attempted,GK Launch %,Avg GK Length,Crosses Faced,Crosses Stopped,Cross Stopping %,Def Outside Pen Area,Def Outside Pen Area p90,Avg Def Act Distance,Poss
1,Adrian,es ESP,GK,Liverpool,eng Premier League,33,1987,3.0,1.0,90.0,3.0,3.0,3.0,6.0,3.0,50.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,33.3,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.6666666666666666,0.0,2.2666666666666666,0.38,-0.7333333333333334,-0.72,3.6666666666666665,9.333333333333334,39.3,25.666666666666668,6.333333333333333,31.2,31.3,7.333333333333333,18.2,21.1,11.666666666666666,0.0,0.0,2.0,2.0,17.0,1.5405978980932038
2,Runar Alex Runarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,1.0,0.0,80.0,0.2,0.0,0.0,10.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.05,0.5,0.5,0.0,15.0,0.0,50.0,10.0,30.0,28.2,5.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,1.1732351578346603
3,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,1.0,90.0,33.0,0.9696969696969697,0.97,3.484848484848485,2.484848484848485,75.7,0.5454545454545454,0.24242424242424243,0.21212121212121213,0.30303030303030304,30.3,0.24242424242424243,0.12121212121212122,0.030303030303030304,0.09090909090909091,20.0,0.9696969696969697,0.12121212121212122,0.030303030303030304,0.12121212121212122,0.0,1.0606060606060606,0.27,0.09090909090909091,0.09,2.242424242424242,5.878787878787879,38.1,29.696969696969695,5.0,14.9,25.7,5.242424242424242,27.7,30.4,10.333333333333334,0.6060606060606061,5.9,2.6363636363636362,2.64,18.6,1.5405978980932038
4,Saturnin Allagbe,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,1.0,90.0,12.0,2.5,2.5,5.5,3.0,56.1,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.25,25.0,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,50.0,2.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,1.6916666666666667,0.28,-0.725,-0.72,5.5,15.583333333333334,35.3,24.75,5.833333333333333,40.7,35.2,8.75,62.9,45.2,13.833333333333334,0.4166666666666667,3.0,1.4166666666666667,1.42,16.2,0.8122537941317146
5,Nicolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,1.0,90.0,2.0,2.5,2.5,3.0,0.5,16.7,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.85,0.62,-0.65,-0.64,3.5,6.5,53.8,15.5,3.0,25.8,29.4,4.5,55.6,43.1,11.5,0.0,0.0,0.0,0.0,11.0,0.8170820431344397
6,Angel,es ESP,GK,Granada,es La Liga,18,2002,1.0,1.0,90.0,1.0,2.0,2.0,9.0,6.0,88.9,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,50.0,2.0,1.0,0.0,1.0,0.0,3.1,0.13,1.1,1.15,9.0,24.0,37.5,14.0,0.0,71.4,43.7,17.0,82.4,54.8,20.0,0.0,0.0,0.0,0.0,7.7,0.5946786913105369
7,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,1.0,90.0,36.0,1.3333333333333333,1.33,4.472222222222222,3.1666666666666665,73.9,0.1388888888888889,0.3611111111111111,0.5,0.25,25.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.3333333333333333,0.16666666666666666,0.0,0.05555555555555555,0.027777777777777776,1.4027777777777777,0.28,0.09722222222222222,0.1,4.0,10.805555555555555,37.0,21.11111111111111,4.805555555555555,32.8,30.0,6.972222222222222,55.8,39.8,13.916666666666666,0.7222222222222222,5.2,0.8611111111111112,0.86,13.0,0.9850011248987592
8,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,7.0,0.9230769230769231,90.0,6.5,1.2307692307692308,1.23,3.5384615384615383,2.3076923076923075,69.6,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,33.3,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,1.2307692307692308,0.15384615384615385,0.0,0.0,0.0,1.2307692307692308,0.31,0.0,0.0,3.230769230769231,8.153846153846153,39.6,30.76923076923077,6.3076923076923075,18.5,27.3,7.076923076923077,34.8,31.1,10.461538461538462,0.46153846153846156,4.4,0.15384615384615385,0.15,9.6,1.4967634432141284
9,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36.0,1.0,90.0,36.0,1.1111111111111112,1.11,3.2777777777777777,2.1944444444444446,72.0,0.4166666666666667,0.3611111111111111,0.2222222222222222,0.2777777777777778,27.8,0.25,0.19444444444444445,0.027777777777777776,0.027777777777777776,12.5,1.1111111111111112,0.19444444444444445,0.0,0.08333333333333333,0.05555555555555555,1.0,0.24,-0.05555555555555555,-0.06,4.361111111111111,11.277777777777779,38.7,28.38888888888889,5.277777777777778,26.3,30.2,7.861111111111111,48.4,40.4,15.666666666666666,0.75,4.8,0.8888888888888888,0.89,13.9,1.2542955326263912
10,Emil Audero,id IDN,GK,Sampdoria,it Serie A,23,1997,37.0,1.0,90.0,37.0,1.4594594594594594,1.46,4.675675675675675,3.189189189189189,72.8,0.3783783783783784,0.1891891891891892,0.43243243243243246,0.16216216216216217,16.2,0.24324324324324326,0.1891891891891892,0.05405405405405406,0.0,22.2,1.4594594594594594,0.1891891891891892,0.02702702702702703,0.16216216216216217,0.02702702702702703,1.4027027027027026,0.25,-0.02972972972972973,-0.03,5.756756756756757,14.675675675675675,39.2,26.64864864864865,4.864864864864865,38.2,35.0,7.0,64.1,45.3,15.216216216216216,0.32432432432432434,2.1,0.918918918918919,0.92,14.8,0.7645042504615022
